 CNDC, CENDL3.1/photon-Medium-Heavy Nucleus reactions, MAT=7437      1 0  0
 7.418400+4 1.823700+2         -1          0         38          17437 1451
 0.000000+0 0.000000+0          0          0          0          67437 1451
 0.000000+0 2.000000+8          0          0          0          37437 1451
 0.000000+0 0.000000+0          0          0        124          87437 1451
 74-W -184 CNDC       EVAL-DEC17 X.B.Ke,R.Xu,Y.Tian,J.M.Wang,X.Tao7437 1451
NDS 163 109 (2020)    DIST-JUN20                                  7437 1451
----IAEA/PD-2019      MATERIAL 7437                               7437 1451
-----PHOTO-NUCLEAR DATA                                           7437 1451
------ENDF-6 FORMAT                                               7437 1451
******************************************************************7437 1451
AUTHORS: X.B.Ke,R.Xu,Y.Tian,J.M.Wang,X.Tao,Z.G.Ge,B.S.Yu          7437 1451
         CHINA NUCLEAR DATA CENTER                                7437 1451
         C.H. Cai                                                 7437 1451
         NANKAI UNIVERSITY                                        7437 1451
******************************************************************7437 1451
HISTORY                                                           7437 1451
17-12 CENDL/G WAS EVALUATED BY X.B.K ET Al., IN THE ENERGY RANGE  7437 1451
      BELOW INCIDENT ENERGY 200 MeV.                              7437 1451
******************************************************************7437 1451
 The photonuclear data of W isotopes are newly evaluated at CNDC  7437 1451
 based on the theoretical calculation and experimental data       7437 1451
 evaluation.                                                      7437 1451
 1.	The theoretical photonuclear reaction code, MEND-G, is        7437 1451
 developed based on the code MEND /1/ by CNDC in cooperation with 7437 1451
 Nankai university in 2016, to calculate the photon induced       7437 1451
 reactions on the medium-heavy nuclei up to 200MeV. Eighteen      7437 1451
 emission processes are considered in the current photonuclear    7437 1451
 reactions, and the spherical optical model, pre-equilibrium      7437 1451
 statistical theory, evaporation theory and Hauser-Feshbach       7437 1451
 theory are involved in our calculation.                          7437 1451
 (1) Optical model (OM)                                           7437 1451
 n, p, d, t, 3He, alpha are considered in the particle emission   7437 1451
 process. The optical model potential in Becchetti-Greenlees      7437 1451
 formula is adopted to calculate the inverse cross sections of    7437 1451
 d, t, 3He, alpha and the parameters are taken from RIPL-2, and   7437 1451
 the Koning-Declaroche potential is utilized to deal with the     7437 1451
 neutron and proton.                                              7437 1451
 (2) Pre-equilibrium statistical, evaporation and Hauser-Feshbach 7437 1451
     theory                                                       7437 1451
 The exciton model with the 2p-2h door state is utilized in this  7437 1451
 calculation and the state density parameters in the Williams     7437 1451
 formula scheme are taken in our work.                            7437 1451
                                                                  7437 1451
 The empirical Gibert-Cameron-Ignachuk-Chiba and SuZongdi level   7437 1451
 density formula are utilized in the HF calculation. Some         7437 1451
 modifications are also performed to get the better fitting.      7437 1451
                                                                  7437 1451
 The optimized parameters relevant to multiple neutron and proton 7437 1451
 emission reactions are listed as:                                7437 1451
    Reac.          L.D.          Pair       D.of S.               7437 1451
    (g,n)         22.0000       0.9800      14.0769               7437 1451
    (g,p)         20.8488       0.7500      14.0769               7437 1451
 (g,n)+(g,p)      21.3595       0.0000      14.0000               7437 1451
   (g,2n)         15.8955       0.9690      14.0000               7437 1451
 (g,2n)+(g,p)     21.2740       0.7500      13.9231               7437 1451
   (g,3n)         21.4811       0.6900      13.9231               7437 1451
 (g,3n)+(g,p)     21.4574       0.0000      13.8462               7437 1451
   (g,2p)         20.3986       1.4300      14.0000               7437 1451
 (3) Photon Stength Function                                      7437 1451
 The Simplified Modified Lorentzian (SMLO) function is used. The  7437 1451
 parameters are shown as follows:                                 7437 1451
   Eg,1=12.95MeV                                                  7437 1451
  sigma_g,1=323.3mb                                               7437 1451
  Gg,1=4.04MeV                                                    7437 1451
  Eg,2=15.61MeV                                                   7437 1451
  sigma_g,2=242.91mb                                              7437 1451
  Gg,2=3.77MeV                                                    7437 1451
 2. The experimental data used in photonuclear data are evaluated 7437 1451
    to optimize parameters:                                       7437 1451
 (g,abs)£º              /2/ G.M.GUREVICH ET AL.,        1981      7437 1451
 (g,xn):                /3/ A.M.Goryachev ET AL.,       1973      7437 1451
 (g,sn):                /4/ A.M.Goryachev ET AL.,       1973      7437 1451
 3. Description of MF/MT in ENDF                                  7437 1451
  * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 7437 1451
  MF=1 GENERAL INFORMATION                                        7437 1451
                                                                  7437 1451
  MT=451 COMMENTS AND DICTIONARY                                  7437 1451
                                                                  7437 1451
  * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 7437 1451
  MF=3 PHOTONUCLEAR REACTION CROSS SECTIONS FOR 186-W             7437 1451
                                                                  7437 1451
  MT=5 PHOTOABSORPTION CROSS SECTIONS                             7437 1451
  In this file, the (3,5) XS is identical to the                  7437 1451
  the photonabsorption XS without (g,g) from compound nuclide.    7437 1451
  (1)Eg: Sn - 60 MeV, main contribution from GDR                  7437 1451
  The experimental data /2,3,4/ were analyzed and evaluated.      7437 1451
  (2)Eg: 7-200MeV, Quasi-deutron contribution                     7437 1451
  Calculation by QD model was adopted in the calculation.         7437 1451
  The contribution from QD was calculated by:                     7437 1451
  L = 6.5                                                         7437 1451
  C = 62.4mb                                                      7437 1451
  Pauli-Blocking function f(Eg) is calculated with:               7437 1451
  Eg ge 140 MeV, f(Eg) = exp(-24.2348/Eg)                         7437 1451
  Eg le  20 MeV, f(Eg) = exp(-73.3/Eg)                            7437 1451
  Eg: 20-140 MeV, f(Eg) = 8.3714*10(-2)-9.8343*10(-3)Eg           7437 1451
                         +4.1222*10(-4)Eg(2)-3.4762*10(-6)Eg(3)   7437 1451
                         +9.3537*10(-9)Eg(4)                      7437 1451
                                                                  7437 1451
  MT=201 (g,Xn), Total neutron production                         7437 1451
  Caluclaiton by MEND-G is adopted. The multiple neutron emission 7437 1451
  reactions are compared with data from /2,3,4/.                  7437 1451
                                                                  7437 1451
  MT=203 (g,Xp), Total proton production                          7437 1451
  Caluclaiton by MEND-G is adopted.                               7437 1451
                                                                  7437 1451
  MT=204 (g,Xd), Total deuteron production                        7437 1451
  Caluclaiton by MEND-G is adopted.                               7437 1451
                                                                  7437 1451
  MT=205 (g,Xt), Total triton production                          7437 1451
  Caluclaiton by MEND-G is adopted.                               7437 1451
                                                                  7437 1451
  MT=206 (g,X3He), Total 3He production                           7437 1451
  Caluclaiton by MEND-G is adopted.                               7437 1451
                                                                  7437 1451
  MT=207 (g,Xa), Total alpha particle production                  7437 1451
  Caluclaiton by MEND-G is adopted.                               7437 1451
 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *  7437 1451
 MF=6  DOUBLE DIFFERENTIAL CROSS SECTIONS FOR EMISSION PARTICLES, 7437 1451
       RECOIL NUCLEI and GAMMA RAYS                               7437 1451
                                                                  7437 1451
  MT=5 CALCULATION WAS PREFORMED WITH MEND-G.                     7437 1451
                                                                  7437 1451
 Reference:                                                       7437 1451
 1. C.H.CAI ET AL.,  Nuclear Physics Review,28,98(2010)           7437 1451
 2. G.M.GUREVICH ET AL.,  J.NP/A,351,257(1981)                    7437 1451
 3. A.M.GORYACHEV ET AL., J,YF,17,463(1973)                       7437 1451
 4. A.M.GORYACHEV ET AL., J.IZK,6,8(1978)                         7437 1451
 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *  7437 1451
                                1        451        136          07437 1451
                                3          5         36          07437 1451
                                3        201         32          07437 1451
                                3        203         29          07437 1451
                                3        204         25          07437 1451
                                3        205         24          07437 1451
                                3        206         18          07437 1451
                                6          5       3223          07437 1451
                                                                  7437 1  0
                                                                  7437 0  0
 7.418400+4 1.823700+2          0          0          0          07437 3  5
 0.000000+0 0.000000+0          0          0          1         997437 3  5
         99          2                                            7437 3  5
 2.000000+6 1.248510-4 2.450000+6 2.392930-4 2.900000+6 4.077290-47437 3  5
 3.350000+6 6.397040-4 3.800000+6 9.879820-4 4.250000+6 1.421320-37437 3  5
 4.700000+6 2.051170-3 5.150000+6 2.807400-3 5.600000+6 3.901000-37437 3  5
 6.050000+6 5.192910-3 6.500000+6 7.020380-3 6.950000+6 9.322650-37437 3  5
 7.400000+6 1.244580-2 7.850000+6 1.658690-2 8.300000+6 2.220110-27437 3  5
 8.750000+6 2.977200-2 9.200000+6 4.042270-2 9.650000+6 5.554140-27437 3  5
 1.010000+7 7.650100-2 1.055000+7 1.080140-1 1.100000+7 1.504490-17437 3  5
 1.145000+7 2.104140-1 1.190000+7 2.825100-1 1.235000+7 3.496860-17437 3  5
 1.280000+7 3.829290-1 1.325000+7 3.873920-1 1.370000+7 3.776310-17437 3  5
 1.415000+7 3.731120-1 1.460000+7 3.802500-1 1.505000+7 3.860470-17437 3  5
 1.550000+7 3.715750-1 1.595000+7 3.360460-1 1.640000+7 2.891550-17437 3  5
 1.685000+7 2.439150-1 1.730000+7 2.053480-1 1.775000+7 1.745050-17437 3  5
 1.820000+7 1.504720-1 1.865000+7 1.311500-1 1.910000+7 1.159460-17437 3  5
 1.955000+7 1.037160-1 2.000000+7 9.372440-2 2.045000+7 8.546230-27437 3  5
 2.090000+7 7.843460-2 2.135000+7 7.255470-2 2.180000+7 6.757950-27437 3  5
 2.225000+7 6.322880-2 2.270000+7 5.951530-2 2.315000+7 5.621000-27437 3  5
 2.360000+7 5.333350-2 2.405000+7 5.079780-2 2.450000+7 4.861390-27437 3  5
 2.495000+7 4.653390-2 2.540000+7 4.476570-2 2.585000+7 4.311030-27437 3  5
 2.630000+7 4.166770-2 2.675000+7 4.030980-2 2.720000+7 3.910910-27437 3  5
 2.765000+7 3.800510-2 2.810000+7 3.697820-2 2.855000+7 3.606360-27437 3  5
 2.900000+7 3.519870-2 2.945000+7 3.443140-2 2.990000+7 3.369000-27437 3  5
 3.035000+7 3.304180-2 3.080000+7 3.241870-2 3.125000+7 3.183420-27437 3  5
 3.170000+7 3.130440-2 3.215000+7 3.078980-2 3.260000+7 3.033570-27437 3  5
 3.305000+7 2.988160-2 3.350000+7 2.948890-2 3.395000+7 2.909690-27437 3  5
 3.440000+7 2.874480-2 3.485000+7 2.840420-2 3.530000+7 2.808770-27437 3  5
 3.575000+7 2.778990-2 3.620000+7 2.750480-2 3.665000+7 2.724290-27437 3  5
 3.710000+7 2.698530-2 3.755000+7 2.675380-2 3.800000+7 2.652220-27437 3  5
 3.845000+7 2.631450-2 3.890000+7 2.610870-2 3.935000+7 2.591840-27437 3  5
