 JENDL/PD-2016.1  Sm-147                                             1 0  0
 6.214700+4 1.456528+2         -1          0         38          16234 1451
 0.000000+0 0.000000+0          0          0          0          66234 1451
 0.000000+0 2.000000+8          1          0          0          06234 1451
 0.000000+0 0.000000+0          0          0         53          36234 1451
 62-Sm-147 JAEA       EVAL-APR19 N.Iwamoto                        6234 1451
NDS 163 109 (2020)    DIST-JUN20                                  6234 1451
----IAEA/PD-2019      MATERIAL 6234                               6234 1451
-----PHOTO-NUCLEAR DATA                                           6234 1451
------ENDF-6 FORMAT                                               6234 1451
                                                                  6234 1451
History                                                           6234 1451
2016-12 Evaluated with CCONE code by N.Iwamoto                    6234 1451
2019-04 Incident energy was extended up to 200MeV with CCONE code 6234 1451
        by N.Iwamoto                                              6234 1451
                                                                  6234 1451
MF= 1 General information                                         6234 1451
  MT=451 Descriptive data and directory                           6234 1451
                                                                  6234 1451
MF= 3 Neutron cross sections                                      6234 1451
  MT=  5 Total reaction cross section                             6234 1451
    Calculated with CCONE code /1/.                               6234 1451
                                                                  6234 1451
MF= 6 Energy-angle distributions of emitted particles             6234 1451
  MT=  5 Total reaction                                           6234 1451
    Calculated with CCONE code /1/.                               6234 1451
                                                                  6234 1451
------------------------------------------------------------------6234 1451
          nuclear model calculation with CCONE code /1/           6234 1451
------------------------------------------------------------------6234 1451
* Optical model potentials                                        6234 1451
  neutron : A.J.Koning and J.P.Delaroche/2/                       6234 1451
  proton  : A.J.Koning and J.P.Delaroche/2/                       6234 1451
  deuteron: Y.Han et al./3/                                       6234 1451
  triton  : A.J.Koning and J.P.Delaroche/2/                       6234 1451
  He-3    : Y.Xu et al./4/                                        6234 1451
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        6234 1451
                                                                  6234 1451
* Level density parameters (Gilbert-Cameron model/6/)             6234 1451
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   6234 1451
                                                                  6234 1451
* Gamma-ray strength functions                                    6234 1451
  E1: modified Lorentzian model(MLO1)/8/                          6234 1451
  M1: standard Lorentzian model(SLO)                              6234 1451
  E2: standard Lorentzian model(SLO)                              6234 1451
                                                                  6234 1451
References                                                        6234 1451
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          6234 1451
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    6234 1451
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   6234 1451
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       6234 1451
    (2011)                                                        6234 1451
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    6234 1451
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    6234 1451
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     6234 1451
    (1994)                                                        6234 1451
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       6234 1451
    (2002)                                                        6234 1451
                                1        451         60          16234 1451
                                3          5         33          16234 1451
                                6          5      37166          16234 1451
                                                                  6234 1  0
                                                                  6234 0  0
 6.214700+4 1.456528+2          0          0          0          06234 3  5
 0.000000+0 0.000000+0          0          0          1         886234 3  5
         88          2                                            6234 3  5
 1.000000+6 2.521759-5 1.500000+6 7.265653-5 2.000000+6 1.594924-46234 3  5
 2.500000+6 3.007752-4 3.000000+6 5.151922-4 3.500000+6 8.266422-46234 3  5
 4.000000+6 1.266457-3 4.500000+6 1.876522-3 5.000000+6 2.713407-36234 3  5
 5.500000+6 3.852819-3 6.000000+6 5.391177-3 6.500000+6 7.436917-36234 3  5
 7.000000+6 1.008951-2 7.500000+6 1.345107-2 8.000000+6 1.775262-26234 3  5
 8.500000+6 2.349826-2 9.000000+6 3.138617-2 9.500000+6 4.196079-26234 3  5
 1.000000+7 5.497334-2 1.050000+7 6.894916-2 1.100000+7 8.262265-26234 3  5
 1.150000+7 9.738253-2 1.200000+7 1.168864-1 1.250000+7 1.451187-16234 3  5
 1.300000+7 1.852614-1 1.350000+7 2.376689-1 1.400000+7 2.954873-16234 3  5
 1.450000+7 3.426467-1 1.500000+7 3.633664-1 1.550000+7 3.543958-16234 3  5
 1.600000+7 3.239410-1 1.650000+7 2.837543-1 1.700000+7 2.430928-16234 3  5
 1.750000+7 2.067813-1 1.800000+7 1.762782-1 1.850000+7 1.513398-16234 3  5
 1.900000+7 1.311256-1 1.950000+7 1.147200-1 2.000000+7 1.013212-16234 3  5
 2.100000+7 8.086466-2 2.200000+7 6.641140-2 2.300000+7 5.581774-26234 3  5
 2.400000+7 4.779982-2 2.500000+7 4.156500-2 2.600000+7 3.660681-26234 3  5
 2.700000+7 3.259084-2 2.800000+7 2.928933-2 2.900000+7 2.654276-26234 3  5
 3.000000+7 2.423641-2 3.200000+7 2.062681-2 3.400000+7 1.799800-26234 3  5
 3.600000+7 1.606553-2 3.800000+7 1.464100-2 4.000000+7 1.359252-26234 3  5
