Retrieved by E4-util: 2019/11/11,14:57:02                            1 0  0
 2.004300+4 4.258973+1         -1          0         38          12034 1451
 0.000000+0 0.000000+0          0          0          0          62034 1451
 0.000000+0 1.400000+8          0          0          0          12034 1451
 0.000000+0 0.000000+0          0          0         23          32034 1451
 20-Ca- 43 KAERI      EVAL-DEC99 Y.HAN,Y.-O.LEE                   2034 1451
NDS 163 109 (2020)    DIST-JUN20                                  2034 1451
----IAEA/PD-2019      MATERIAL 2034                               2034 1451
-----PHOTO-NUCLEAR DATA                                           2034 1451
------ENDF-6 FORMAT                                               2034 1451
 -----------------------------------------------------------------2034 1451
 MF=1 GENERAL INFORMATION                                         2034 1451
  MT=451 COMMENTS AND DICTIONARY                                  2034 1451
 -----------------------------------------------------------------2034 1451
 MF=3, MT=5 PHOTOABSORPTION CROSS SECTION WERE CALCULATED BY GNASH2034 1451
  CODE/1/.                                                        2034 1451
  PHOTOABSORPTION CROSS SECTIONS WERE COMPARED WITH EXPERIMENTAL  2034 1451
  DATA /2/.                                                       2034 1451
 -----------------------------------------------------------------2034 1451
 MF=6, MT=5 PRODUCTION CROSS SECTIONS AND ENERGY-ANGLE            2034 1451
  DISTRIBUTIONS FOR EMISSION NEUTRONS, PROTONS, DEUTERONS,TRITONS,2034 1451
  ALPHAS; AND ANGLE-INTEGRATED SPECTRA FOR GAMMA RAYS AND RESIDUAL2034 1451
  NUCLEI THAT ARE STABLE AGAINST PARTICLE EMISSION.               2034 1451
 -----------------------------------------------------------------2034 1451
 REFERENCES                                                       2034 1451
  1. M.B.CHADWICK ET AL., UCRL-ID-118721,(1994)                   2034 1451
  2. J.AHRENS ET AL.,     J.NP/A,251,479(1975)                    2034 1451
 -----------------------------------------------------------------2034 1451
                                1        451         30          12034 1451
                                3          5         27          12034 1451
                                6          5      19802          12034 1451
                                                                  2034 1  0
                                                                  2034 0  0
 2.004300+4 4.258973+1          0          0          0          02034 3  5
 0.000000+0 0.000000+0          0          0          1         702034 3  5
         70          2                                            2034 3  5
 7.592500+6 0.000000+0 9.000000+6 5.132894-4 1.000000+7 1.108394-32034 3  5
 1.100000+7 1.672718-3 1.200000+7 2.550481-3 1.300000+7 3.958162-32034 3  5
 1.400000+7 6.285883-3 1.500000+7 1.027566-2 1.600000+7 1.736752-22034 3  5
 1.650000+7 2.285148-2 1.700000+7 3.022691-2 1.750000+7 3.997957-22034 3  5
 1.800000+7 5.234129-2 1.850000+7 6.671599-2 1.900000+7 8.094908-22034 3  5
 1.950000+7 9.140956-2 2.000000+7 9.495570-2 2.050000+7 9.134826-22034 3  5
 2.100000+7 8.308198-2 2.150000+7 7.313804-2 2.200000+7 6.348763-22034 3  5
 2.250000+7 5.499517-2 2.300000+7 4.785534-2 2.400000+7 3.713117-22034 3  5
 2.500000+7 2.986717-2 2.600000+7 2.481992-2 2.700000+7 2.119395-22034 3  5
 2.800000+7 1.850357-2 2.900000+7 1.644897-2 3.000000+7 1.483822-22034 3  5
 3.100000+7 1.354840-2 3.200000+7 1.249553-2 3.300000+7 1.162062-22034 3  5
 3.400000+7 1.088369-2 3.500000+7 1.025474-2 3.600000+7 9.710279-32034 3  5
 3.700000+7 9.235209-3 3.800000+7 8.816436-3 3.900000+7 8.444057-32034 3  5
 4.000000+7 8.110174-3 4.200000+7 7.534901-3 4.400000+7 7.054320-32034 3  5
 4.600000+7 6.644135-3 4.800000+7 6.287645-3 5.000000+7 5.972953-32034 3  5
 5.200000+7 5.692360-3 5.400000+7 5.437166-3 5.600000+7 5.204570-32034 3  5
 5.800000+7 4.991474-3 6.000000+7 4.794077-3 6.200000+7 4.609580-32034 3  5
 6.400000+7 4.437482-3 6.600000+7 4.275384-3 6.800000+7 4.122885-32034 3  5
 7.000000+7 3.978487-3 7.200000+7 3.841888-3 7.400000+7 3.711889-32034 3  5
 7.600000+7 3.588391-3 7.800000+7 3.470591-3 8.000000+7 3.358292-32034 3  5
 8.500000+7 3.098794-3 9.000000+7 2.866194-3 9.500000+7 2.656996-32034 3  5
 1.000000+8 2.467396-3 1.050000+8 2.295897-3 1.100000+8 2.140198-32034 3  5
 1.150000+8 1.998498-3 1.200000+8 1.869398-3 1.300000+8 1.643399-32034 3  5
 1.400000+8 1.453499-3                                            2034 3  5
                                                                  2034 3  0
                                                                  2034 0  0
 2.004300+4 4.258973+1          0          3         29          02034 6  5
 1.000000+0 1.000000+0          0          1          1         712034 6  5
         71          2                                            2034 6  5
 7.592500+6 0.000000+0 7.933000+6 0.000000+0 9.000000+6 3.571700-12034 6  5
 1.000000+7 9.946039-1 1.100000+7 9.954963-1 1.200000+7 9.768371-12034 6  5
 1.300000+7 9.528829-1 1.400000+7 9.263494-1 1.500000+7 9.025600-12034 6  5
 1.600000+7 8.912394-1 1.650000+7 8.892094-1 1.700000+7 8.868202-12034 6  5
 1.750000+7 8.807280-1 1.800000+7 8.585818-1 1.850000+7 8.377210-12034 6  5
 1.900000+7 8.126430-1 1.950000+7 8.021880-1 2.000000+7 8.311111-12034 6  5
 2.050000+7 8.830416-1 2.100000+7 9.155122-1 2.150000+7 9.559322-12034 6  5
 2.200000+7 9.738962-1 2.250000+7 9.980461-1 2.300000+7 1.010647+02034 6  5
 2.400000+7 1.041237+0 2.500000+7 1.065729+0 2.600000+7 1.082583+02034 6  5
 2.700000+7 1.093206+0 2.800000+7 1.100119+0 2.900000+7 1.104480+02034 6  5
 3.000000+7 1.115913+0 3.100000+7 1.136712+0 3.200000+7 1.167607+02034 6  5
 3.300000+7 1.207276+0 3.400000+7 1.254222+0 3.500000+7 1.306622+02034 6  5
 3.600000+7 1.362472+0 3.700000+7 1.420356+0 3.800000+7 1.478518+02034 6  5
 3.900000+7 1.535475+0 4.000000+7 1.590155+0 4.200000+7 1.689745+02034 6  5
 4.400000+7 1.778002+0 4.600000+7 1.853989+0 4.800000+7 1.921557+02034 6  5
 5.000000+7 1.987202+0 5.200000+7 2.053992+0 5.400000+7 2.123210+02034 6  5
 5.600000+7 2.194289+0 5.800000+7 2.266484+0 6.000000+7 2.336215+02034 6  5
 6.200000+7 2.403175+0 6.400000+7 2.466877+0 6.600000+7 2.527354+02034 6  5
 6.800000+7 2.589711+0 7.000000+7 2.645142+0 7.200000+7 2.698485+02034 6  5
 7.400000+7 2.749854+0 7.600000+7 2.798904+0 7.800000+7 2.845502+02034 6  5
 8.000000+7 2.889952+0 8.500000+7 2.992104+0 9.000000+7 3.084218+02034 6  5
 9.500000+7 3.169404+0 1.000000+8 3.249183+0 1.050000+8 3.324038+02034 6  5
 1.100000+8 3.393708+0 1.150000+8 3.459269+0 1.200000+8 3.520851+02034 6  5
 1.300000+8 3.633708+0 1.400000+8 3.731368+0                      2034 6  5
 0.000000+0 0.000000+0          2          1          1         712034 6  5
         71          2                                            2034 6  5
 0.000000+0 7.592500+6          0          1          6          22034 6  5
 0.000000+0 1.000000+5 0.000000+0 1.000000-5 0.000000+0 0.000000+02034 6  5
 0.000000+0 7.933000+6          0          1          6          22034 6  5
 0.000000+0 1.000000+5 0.000000+0 1.000000-5 0.000000+0 0.000000+02034 6  5
 0.000000+0 9.000000+6          0          1          9          32034 6  5
 0.000000+0 0.000000+0 0.000000+0 7.323936+5 2.048079-6 2.349000-22034 6  5
 1.220656+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.000000+7          0          1         15          52034 6  5
 0.000000+0 1.279879-6 1.310000-2 7.323936+5 0.000000+0 0.000000+02034 6  5
 1.220656+6 0.000000+0 0.000000+0 1.708918+6 1.282599-7 1.388000-12034 6  5
 2.197181+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.100000+7          0          1         21          72034 6  5
 0.000000+0 8.845851-7 1.732000-2 7.323936+5 4.283202-8 5.048000-12034 6  5
 1.220656+6 6.001865-7 4.961000-2 1.708918+6 0.000000+0 0.000000+02034 6  5
 2.197181+6 0.000000+0 0.000000+0 2.685443+6 7.818283-8 1.930000-12034 6  5
 3.173706+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.200000+7          0          1         27          92034 6  5
 0.000000+0 1.996350-7 3.240000-2 7.323936+5 5.182448-7 4.937000-22034 6  5
 1.220656+6 8.187747-7 6.992001-2 1.708918+6 4.187746-8 5.297000-12034 6  5
 2.197181+6 3.271199-7 7.731000-2 2.685443+6 0.000000+0 0.000000+02034 6  5
 3.173706+6 0.000000+0 0.000000+0 3.661968+6 4.260944-8 2.820000-12034 6  5
 4.150230+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.300000+7          0          1         33         112034 6  5
 0.000000+0 2.807540-7 6.855999-2 7.323936+5 3.549912-7 7.943000-22034 6  5
 1.220656+6 2.495393-7 8.754000-2 1.708918+6 3.413353-7 8.330000-22034 6  5
 2.197181+6 4.558369-7 1.229000-1 2.685443+6 3.180861-8 6.049000-12034 6  5
 3.173706+6 1.670408-7 1.213000-1 3.661968+6 0.000000+0 0.000000+02034 6  5
 4.150230+6 0.000000+0 0.000000+0 4.638493+6 2.639601-8 3.615000-12034 6  5
 5.126756+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.400000+7          0          1         39         132034 6  5
 0.000000+0 2.636669-7 9.246000-2 7.323936+5 3.280123-7 1.231000-12034 6  5
 1.220656+6 2.634445-7 1.526000-1 1.708918+6 2.815516-7 1.171000-12034 6  5
 2.197181+6 1.789845-7 1.224000-1 2.685443+6 2.060032-7 1.251000-12034 6  5
 3.173706+6 2.597761-7 1.871000-1 3.661968+6 2.335860-8 6.860000-12034 6  5
 4.150230+6 9.414827-8 1.732000-1 4.638493+6 0.000000+0 0.000000+02034 6  5
 5.126756+6 0.000000+0 0.000000+0 5.615018+6 1.729954-8 4.455000-12034 6  5
 6.103280+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.500000+7          0          1         45         152034 6  5
 0.000000+0 2.448507-7 1.203000-1 7.323936+5 3.100622-7 1.629000-12034 6  5
 1.220656+6 2.965406-7 1.727000-1 1.708918+6 2.604727-7 1.799000-12034 6  5
 2.197181+6 1.769108-7 2.302000-1 2.685443+6 1.825034-7 1.699000-12034 6  5
 3.173706+6 1.092341-7 1.773000-1 3.661968+6 1.149635-7 1.899000-12034 6  5
 4.150230+6 1.475300-7 2.766000-1 4.638493+6 1.730706-8 7.663000-12034 6  5
 5.126756+6 5.381367-8 2.456000-1 5.615018+6 0.000000+0 0.000000+02034 6  5
 6.103280+6 0.000000+0 0.000000+0 6.591543+6 1.146489-8 5.463000-12034 6  5
 7.079805+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.600000+7          0          1         51         172034 6  5
 0.000000+0 2.278491-7 1.467000-1 7.323936+5 2.929348-7 1.986000-12034 6  5
 1.220656+6 2.826070-7 2.130000-1 1.708918+6 2.515157-7 2.279000-12034 6  5
 2.197181+6 2.112750-7 2.423000-1 2.685443+6 1.706175-7 2.538000-12034 6  5
 3.173706+6 1.125019-7 3.204000-1 3.661968+6 1.127142-7 2.383000-12034 6  5
 4.150230+6 6.558288-8 2.503000-1 4.638493+6 6.541704-8 2.768000-12034 6  5
 5.126756+6 8.804844-8 3.842000-1 5.615018+6 1.317628-8 8.278000-12034 6  5
 6.103280+6 3.202248-8 3.335000-1 6.591543+6 0.000000+0 0.000000+02034 6  5
 7.079805+6 0.000000+0 0.000000+0 7.568068+6 7.892209-9 6.422000-12034 6  5
 8.056330+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.650000+7          0          1         54         182034 6  5
 0.000000+0 2.202652-7 1.580000-1 7.323936+5 2.852675-7 2.143000-12034 6  5
 1.220656+6 2.763176-7 2.308000-1 1.708918+6 2.470845-7 2.480000-12034 6  5
 2.197181+6 2.089302-7 2.659000-1 2.685443+6 1.704593-7 2.832000-12034 6  5
 3.173706+6 1.356323-7 2.972000-1 3.661968+6 9.061143-8 3.682000-12034 6  5
 4.150230+6 8.870088-8 2.791000-1 4.638493+6 5.130967-8 2.933000-12034 6  5
 5.126756+6 5.038478-8 3.269000-1 5.615018+6 6.965813-8 4.415000-12034 6  5
 6.103280+6 1.158410-8 8.529000-1 6.591543+6 2.510287-8 3.825000-12034 6  5
 7.079805+6 0.000000+0 0.000000+0 7.568068+6 0.000000+0 0.000000+02034 6  5
 8.056330+6 6.637859-9 6.866000-1 8.544592+6 0.000000+0 0.000000+02034 6  5
 0.000000+0 1.700000+7          0          1         57         192034 6  5
 0.000000+0 2.131213-7 1.680000-1 7.323936+5 2.779915-7 2.286000-12034 6  5
 1.220656+6 2.703988-7 2.473000-1 1.708918+6 2.428886-7 2.667000-12034 6  5
 2.197181+6 2.065249-7 2.872000-1 2.685443+6 1.698070-7 3.084000-12034 6  5
 3.173706+6 1.367069-7 3.287000-1 3.661968+6 1.081395-7 3.451000-12034 6  5
 4.150230+6 7.397497-8 4.169000-1 4.638493+6 7.022437-8 3.252000-12034 6  5
 5.126756+6 4.052752-8 3.409000-1 5.615018+6 3.942849-8 3.808000-12034 6  5
 6.103280+6 5.599761-8 5.004000-1 6.591543+6 1.024479-8 8.754000-12034 6  5
 7.079805+6 1.990602-8 4.352000-1 7.568068+6 0.000000+0 0.000000+02034 6  5
 8.056330+6 0.000000+0 0.000000+0 8.544592+6 5.636014-9 7.291000-12034 6  5
 9.032855+6 0.000000+0 0.000000+0                                 2034 6  5
 0.000000+0 1.750000+7          0          1         60         202034 6  5
 0.000000+0 2.062500-7 1.772000-1 7.323936+5 2.708939-7 2.420000-12034 6  5
 1.220656+6 2.646563-7 2.631000-1 1.708918+6 2.388344-7 2.847000-12034 6  5
 2.197181+6 2.041425-7 3.076000-1 2.685443+6 1.689475-7 3.318000-12034 6  5
 3.173706+6 1.372503-7 3.563000-1 3.661968+6 1.100374-7 3.794000-12034 6  5
 4.150230+6 8.696728-8 3.982000-1 4.638493+6 6.140348-8 4.660000-12034 6  5
 5.126756+6 5.609870-8 3.771000-1 5.615018+6 3.236738-8 3.938000-12034 6  5
 6.103280+6 3.135687-8 4.389000-1 6.591543+6 4.577530-8 5.606000-12034 6  5
