 JENDL/PD-2016.1  Tb-158                                             1 0  0
 6.515800+4 1.565688+2         -1          0         38          16522 1451
 0.000000+0 1.000000+0          0          0          0          66522 1451
 0.000000+0 2.000000+8          0          0          0       20196522 1451
 0.000000+0 0.000000+0          0          0         53          36522 1451
 65-Tb-158 JAEA       EVAL-APR19 N.Iwamoto                        6522 1451
NDS 163 109 (2020)    DIST-JUN20                                  6522 1451
----IAEA/PD-2019      MATERIAL 6522                               6522 1451
-----PHOTO-NUCLEAR DATA                                           6522 1451
------ENDF-6 FORMAT                                               6522 1451
                                                                  6522 1451
History                                                           6522 1451
2016-12 Evaluated with CCONE code by N.Iwamoto                    6522 1451
2019-04 Incident energy was extended up to 200MeV with CCONE code 6522 1451
        by N.Iwamoto                                              6522 1451
                                                                  6522 1451
MF= 1 General information                                         6522 1451
  MT=451 Descriptive data and directory                           6522 1451
                                                                  6522 1451
MF= 3 Neutron cross sections                                      6522 1451
  MT=  5 Total reaction cross section                             6522 1451
    Calculated with CCONE code /1/.                               6522 1451
                                                                  6522 1451
MF= 6 Energy-angle distributions of emitted particles             6522 1451
  MT=  5 Total reaction                                           6522 1451
    Calculated with CCONE code /1/.                               6522 1451
                                                                  6522 1451
------------------------------------------------------------------6522 1451
          nuclear model calculation with CCONE code /1/           6522 1451
------------------------------------------------------------------6522 1451
* Optical model potentials                                        6522 1451
  neutron : A.J.Koning and J.P.Delaroche/2/                       6522 1451
  proton  : A.J.Koning and J.P.Delaroche/2/                       6522 1451
  deuteron: Y.Han et al./3/                                       6522 1451
  triton  : A.J.Koning and J.P.Delaroche/2/                       6522 1451
  He-3    : Y.Xu et al./4/                                        6522 1451
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        6522 1451
                                                                  6522 1451
* Level density parameters (Gilbert-Cameron model/6/)             6522 1451
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   6522 1451
                                                                  6522 1451
* Gamma-ray strength functions                                    6522 1451
  E1: modified Lorentzian model(MLO1)/8/                          6522 1451
  M1: standard Lorentzian model(SLO)                              6522 1451
  E2: standard Lorentzian model(SLO)                              6522 1451
                                                                  6522 1451
References                                                        6522 1451
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          6522 1451
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    6522 1451
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   6522 1451
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       6522 1451
    (2011)                                                        6522 1451
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    6522 1451
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    6522 1451
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     6522 1451
    (1994)                                                        6522 1451
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       6522 1451
    (2002)                                                        6522 1451
                                1        451         60          16522 1451
                                3          5         33          16522 1451
                                6          5      34927          16522 1451
                                                                  6522 1  0
                                                                  6522 0  0
 6.515800+4 1.565688+2          0          0          0          06522 3  5
 0.000000+0 0.000000+0          0          0          1         886522 3  5
         88          2                                            6522 3  5
 1.000000+6 2.368385-5 1.500000+6 6.828557-5 2.000000+6 1.498994-46522 3  5
