 JENDL/PD-2016.1  Pd-110                                             1 0  0
 4.611000+4 1.089610+2         -1          0         38          14649 1451
 0.000000+0 0.000000+0          0          0          0          64649 1451
 0.000000+0 2.000000+8          0          0          0       20194649 1451
 0.000000+0 0.000000+0          0          0         53          34649 1451
 46-Pd-110 JAEA       EVAL-APR19 N.Iwamoto                        4649 1451
NDS 163 109 (2020)    DIST-JUN20                                  4649 1451
----IAEA/PD-2019      MATERIAL 4649                               4649 1451
-----PHOTO-NUCLEAR DATA                                           4649 1451
------ENDF-6 FORMAT                                               4649 1451
                                                                  4649 1451
History                                                           4649 1451
2016-12 Evaluated with CCONE code by N.Iwamoto                    4649 1451
2019-04 Incident energy was extended up to 200MeV with CCONE code 4649 1451
        by N.Iwamoto                                              4649 1451
                                                                  4649 1451
MF= 1 General information                                         4649 1451
  MT=451 Descriptive data and directory                           4649 1451
                                                                  4649 1451
MF= 3 Neutron cross sections                                      4649 1451
  MT=  5 Total reaction cross section                             4649 1451
    Calculated with CCONE code /1/.                               4649 1451
                                                                  4649 1451
MF= 6 Energy-angle distributions of emitted particles             4649 1451
  MT=  5 Total reaction                                           4649 1451
    Calculated with CCONE code /1/.                               4649 1451
                                                                  4649 1451
------------------------------------------------------------------4649 1451
          nuclear model calculation with CCONE code /1/           4649 1451
------------------------------------------------------------------4649 1451
* Optical model potentials                                        4649 1451
  neutron : A.J.Koning and J.P.Delaroche/2/                       4649 1451
  proton  : A.J.Koning and J.P.Delaroche/2/                       4649 1451
  deuteron: Y.Han et al./3/                                       4649 1451
  triton  : A.J.Koning and J.P.Delaroche/2/                       4649 1451
  He-3    : Y.Xu et al./4/                                        4649 1451
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        4649 1451
                                                                  4649 1451
* Level density parameters (Gilbert-Cameron model/6/)             4649 1451
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   4649 1451
                                                                  4649 1451
* Gamma-ray strength functions                                    4649 1451
  E1: modified Lorentzian model(MLO1)/8/                          4649 1451
  M1: standard Lorentzian model(SLO)                              4649 1451
  E2: standard Lorentzian model(SLO)                              4649 1451
                                                                  4649 1451
References                                                        4649 1451
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          4649 1451
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    4649 1451
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   4649 1451
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       4649 1451
    (2011)                                                        4649 1451
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    4649 1451
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    4649 1451
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     4649 1451
    (1994)                                                        4649 1451
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       4649 1451
    (2002)                                                        4649 1451
                                1        451         60          14649 1451
                                3          5         33          14649 1451
                                6          5      30281          14649 1451
                                                                  4649 1  0
                                                                  4649 0  0
 4.611000+4 1.089610+2          0          0          0          04649 3  5
 0.000000+0 0.000000+0          0          0          1         884649 3  5
         88          2                                            4649 3  5
 1.000000+6 1.320136-5 1.500000+6 3.746472-5 2.000000+6 8.124642-54649 3  5
 2.500000+6 1.515321-4 3.000000+6 2.567309-4 3.500000+6 4.072342-44649 3  5
 4.000000+6 6.161883-4 4.500000+6 9.005823-4 5.000000+6 1.282777-34649 3  5
 5.500000+6 1.792535-3 6.000000+6 2.469261-3 6.500000+6 3.362982-34649 3  5
 7.000000+6 4.529713-3 7.500000+6 6.014193-3 8.000000+6 7.827268-34649 3  5
 8.500000+6 9.975408-3 9.000000+6 1.258098-2 9.500000+6 1.595611-24649 3  5
 1.000000+7 2.055447-2 1.050000+7 2.695511-2 1.100000+7 3.593980-24649 3  5
 1.150000+7 4.859428-2 1.200000+7 6.631778-2 1.250000+7 9.044500-24649 3  5
 1.300000+7 1.208030-1 1.350000+7 1.528200-1 1.400000+7 1.766482-14649 3  5
 1.450000+7 1.849802-1 1.500000+7 1.815083-1 1.550000+7 1.752309-14649 3  5
 1.600000+7 1.713171-1 1.650000+7 1.696204-1 1.700000+7 1.672018-14649 3  5
 1.750000+7 1.612249-1 1.800000+7 1.508753-1 1.850000+7 1.373895-14649 3  5
 1.900000+7 1.227591-1 1.950000+7 1.085958-1 2.000000+7 9.578444-24649 3  5
 2.100000+7 7.492640-2 2.200000+7 5.987893-2 2.300000+7 4.902502-24649 3  5
 2.400000+7 4.103654-2 2.500000+7 3.500904-2 2.600000+7 3.035099-24649 3  5
 2.700000+7 2.667421-2 2.800000+7 2.371919-2 2.900000+7 2.130836-24649 3  5
 3.000000+7 1.931722-2 3.200000+7 1.625991-2 3.400000+7 1.407448-24649 3  5
 3.600000+7 1.248542-2 3.800000+7 1.131964-2 4.000000+7 1.046153-24649 3  5
 4.200000+7 9.830124-3 4.400000+7 9.366906-3 4.600000+7 9.028633-34649 3  5
 4.800000+7 8.782947-3 5.000000+7 8.605455-3 5.200000+7 8.477702-34649 3  5
 5.400000+7 8.385701-3 5.600000+7 8.318851-3 5.800000+7 8.269125-34649 3  5
 6.000000+7 8.230461-3 6.200000+7 8.198296-3 6.400000+7 8.169212-34649 3  5
 6.600000+7 8.140675-3 6.800000+7 8.110823-3 7.000000+7 8.078316-34649 3  5
 7.200000+7 8.042213-3 7.400000+7 8.001884-3 7.600000+7 7.956936-34649 3  5
 7.800000+7 7.907163-3 8.000000+7 7.852498-3 8.500000+7 7.694931-34649 3  5
 9.000000+7 7.509938-3 9.500000+7 7.301932-3 1.000000+8 7.076175-34649 3  5
 1.100000+8 6.593887-3 1.200000+8 6.107818-3 1.300000+8 5.660417-34649 3  5
 1.400000+8 5.290804-3 1.500000+8 4.831681-3 1.600000+8 4.435185-34649 3  5
 1.700000+8 4.089977-3 1.800000+8 3.787234-3 1.900000+8 3.519995-34649 3  5
 2.000000+8 3.282699-3                                            4649 3  5
                                                                  4649 3  0
                                                                  4649 0  0
 4.611000+4 1.089610+2          0          2        347          04649 6  5
 1.000000+0 1.000000+0          0          1          1         744649 6  5
         74          2                                            4649 6  5
 1.000000+6 0.000000+0 8.795746+6 0.000000+0 9.000000+6 9.594443-14649 6  5
 9.500000+6 9.957740-1 1.000000+7 9.964718-1 1.050000+7 9.961818-14649 6  5
 1.100000+7 9.960804-1 1.150000+7 9.963002-1 1.200000+7 9.967500-14649 6  5
 1.250000+7 9.973002-1 1.300000+7 9.978477-1 1.350000+7 9.983327-14649 6  5
 1.400000+7 9.987314-1 1.450000+7 9.990361-1 1.500000+7 9.992529-14649 6  5
 1.550000+7 1.147663+0 1.600000+7 1.350747+0 1.650000+7 1.507854+04649 6  5
 1.700000+7 1.603178+0 1.750000+7 1.663487+0 1.800000+7 1.706249+04649 6  5
 1.850000+7 1.734637+0 1.900000+7 1.753625+0 1.950000+7 1.767032+04649 6  5
 2.000000+7 1.777634+0 2.100000+7 1.795757+0 2.200000+7 1.808870+04649 6  5
 2.300000+7 1.817484+0 2.400000+7 1.822331+0 2.500000+7 1.832272+04649 6  5
 2.600000+7 1.897651+0 2.700000+7 1.981153+0 2.800000+7 2.060555+04649 6  5
 2.900000+7 2.117044+0 3.000000+7 2.169100+0 3.200000+7 2.224934+04649 6  5
 3.400000+7 2.291243+0 3.600000+7 2.367231+0 3.800000+7 2.444033+04649 6  5
 4.000000+7 2.517564+0 4.200000+7 2.577717+0 4.400000+7 2.631548+04649 6  5
 4.600000+7 2.687754+0 4.800000+7 2.745668+0 5.000000+7 2.807506+04649 6  5
 5.200000+7 2.866543+0 5.400000+7 2.928852+0 5.600000+7 2.985523+04649 6  5
 5.800000+7 3.041775+0 6.000000+7 3.099962+0 6.200000+7 3.158195+04649 6  5
 6.400000+7 3.211081+0 6.600000+7 3.275511+0 6.800000+7 3.325082+04649 6  5
 7.000000+7 3.379108+0 7.200000+7 3.433140+0 7.400000+7 3.486814+04649 6  5
 7.600000+7 3.543496+0 7.800000+7 3.595607+0 8.000000+7 3.651196+04649 6  5
 8.500000+7 3.778580+0 9.000000+7 3.901593+0 9.500000+7 4.028619+04649 6  5
 1.000000+8 4.147263+0 1.100000+8 4.380623+0 1.200000+8 4.604746+04649 6  5
 1.300000+8 4.825425+0 1.400000+8 5.050359+0 1.500000+8 5.256595+04649 6  5
 1.600000+8 5.477228+0 1.700000+8 5.782123+0 1.800000+8 5.991697+04649 6  5
 1.900000+8 6.197043+0 2.000000+8 6.395725+0                      4649 6  5
 0.000000+0 0.000000+0          1          2          1         314649 6  5
         31         22                                            4649 6  5
 0.000000+0 1.000000+6          0          0          6          34649 6  5
 0.000000+0 0.000000+0 5.000000-1 2.000000+0 1.000000+0 0.000000+04649 6  5
 0.000000+0 8.795746+6          0          0          6          34649 6  5
 0.000000+0 0.000000+0 5.000000-1 2.000000+0 1.000000+0 0.000000+04649 6  5
 0.000000+0 1.000000+7          0          0         28         144649 6  5
