 JENDL/PD-2016.1  Hf-178                                             1 0  0
 7.217800+4 1.764151+2         -1          0         38          17237 1451
 0.000000+0 0.000000+0          0          0          0          67237 1451
 0.000000+0 2.000000+8          0          0          0       20197237 1451
 0.000000+0 0.000000+0          0          0         53          37237 1451
 72-Hf-178 JAEA       EVAL-APR19 N.Iwamoto                        7237 1451
NDS 163 109 (2020)    DIST-JUN20                                  7237 1451
----IAEA/PD-2019      MATERIAL 7237                               7237 1451
-----PHOTO-NUCLEAR DATA                                           7237 1451
------ENDF-6 FORMAT                                               7237 1451
                                                                  7237 1451
History                                                           7237 1451
2016-12 Evaluated with CCONE code by N.Iwamoto                    7237 1451
2019-04 Incident energy was extended up to 200MeV with CCONE code 7237 1451
        by N.Iwamoto                                              7237 1451
                                                                  7237 1451
MF= 1 General information                                         7237 1451
  MT=451 Descriptive data and directory                           7237 1451
                                                                  7237 1451
MF= 3 Neutron cross sections                                      7237 1451
  MT=  5 Total reaction cross section                             7237 1451
    Calculated with CCONE code /1/.                               7237 1451
                                                                  7237 1451
MF= 6 Energy-angle distributions of emitted particles             7237 1451
  MT=  5 Total reaction                                           7237 1451
    Calculated with CCONE code /1/.                               7237 1451
                                                                  7237 1451
------------------------------------------------------------------7237 1451
          nuclear model calculation with CCONE code /1/           7237 1451
------------------------------------------------------------------7237 1451
* Optical model potentials                                        7237 1451
  neutron : A.J.Koning and J.P.Delaroche/2/                       7237 1451
  proton  : A.J.Koning and J.P.Delaroche/2/                       7237 1451
  deuteron: Y.Han et al./3/                                       7237 1451
  triton  : A.J.Koning and J.P.Delaroche/2/                       7237 1451
  He-3    : Y.Xu et al./4/                                        7237 1451
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        7237 1451
                                                                  7237 1451
* Level density parameters (Gilbert-Cameron model/6/)             7237 1451
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   7237 1451
                                                                  7237 1451
* Gamma-ray strength functions                                    7237 1451
  E1: modified Lorentzian model(MLO1)/8/                          7237 1451
  M1: standard Lorentzian model(SLO)                              7237 1451
  E2: standard Lorentzian model(SLO)                              7237 1451
                                                                  7237 1451
References                                                        7237 1451
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          7237 1451
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    7237 1451
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   7237 1451
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       7237 1451
    (2011)                                                        7237 1451
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    7237 1451
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    7237 1451
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     7237 1451
    (1994)                                                        7237 1451
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       7237 1451
    (2002)                                                        7237 1451
                                1        451         60          17237 1451
                                3          5         33          17237 1451
                                6          5      34948          17237 1451
                                                                  7237 1  0
                                                                  7237 0  0
 7.217800+4 1.764151+2          0          0          0          07237 3  5
 0.000000+0 0.000000+0          0          0          1         887237 3  5
         88          2                                            7237 3  5
 1.000000+6 3.210795-5 1.500000+6 9.213921-5 2.000000+6 2.021360-47237 3  5
 2.500000+6 3.818834-4 3.000000+6 6.566019-4 3.500000+6 1.059396-37237 3  5
 4.000000+6 1.634694-3 4.500000+6 2.442880-3 5.000000+6 3.565586-37237 3  5
 5.500000+6 5.108748-3 6.000000+6 7.196565-3 6.500000+6 9.955826-37237 3  5
 7.000000+6 1.354153-2 7.500000+6 1.830620-2 8.000000+6 2.506728-27237 3  5
 8.500000+6 3.535069-2 9.000000+6 5.169043-2 9.500000+6 7.655947-27237 3  5
 1.000000+7 1.058834-1 1.050000+7 1.377797-1 1.100000+7 1.860468-17237 3  5
 1.150000+7 2.557409-1 1.200000+7 3.296540-1 1.250000+7 3.681677-17237 3  5
 1.300000+7 3.543340-1 1.350000+7 3.185464-1 1.400000+7 2.938086-17237 3  5
 1.450000+7 2.933851-1 1.500000+7 3.154064-1 1.550000+7 3.411524-17237 3  5
 1.600000+7 3.399751-1 1.650000+7 3.025843-1 1.700000+7 2.499269-17237 3  5
 1.750000+7 2.015002-1 1.800000+7 1.633510-1 1.850000+7 1.346852-17237 3  5
 1.900000+7 1.132128-1 1.950000+7 9.690667-2 2.000000+7 8.428540-27237 3  5
 2.100000+7 6.602800-2 2.200000+7 5.379894-2 2.300000+7 4.513365-27237 3  5
 2.400000+7 3.872260-2 2.500000+7 3.382029-2 2.600000+7 2.997599-27237 3  5
 2.700000+7 2.690289-2 2.800000+7 2.441024-2 2.900000+7 2.236619-27237 3  5
 3.000000+7 2.067651-2 3.200000+7 1.809948-2 3.400000+7 1.629802-27237 3  5
 3.600000+7 1.503643-2 3.800000+7 1.415884-2 4.000000+7 1.355733-27237 3  5
 4.200000+7 1.315484-2 4.400000+7 1.289534-2 4.600000+7 1.273764-27237 3  5
 4.800000+7 1.265126-2 5.000000+7 1.261356-2 5.200000+7 1.260776-27237 3  5
 5.400000+7 1.262142-2 5.600000+7 1.264533-2 5.800000+7 1.267273-27237 3  5
 6.000000+7 1.269870-2 6.200000+7 1.271969-2 6.400000+7 1.273319-27237 3  5
 6.600000+7 1.273752-2 6.800000+7 1.273155-2 7.000000+7 1.271464-27237 3  5
 7.200000+7 1.268647-2 7.400000+7 1.264700-2 7.600000+7 1.259638-27237 3  5
 7.800000+7 1.253491-2 8.000000+7 1.246300-2 8.500000+7 1.224091-27237 3  5
 9.000000+7 1.196583-2 9.500000+7 1.164783-2 1.000000+8 1.129725-27237 3  5
 1.100000+8 1.053899-2 1.200000+8 9.768625-3 1.300000+8 9.056942-37237 3  5
 1.400000+8 8.468026-3 1.500000+8 7.734606-3 1.600000+8 7.100835-37237 3  5
 1.700000+8 6.548791-3 1.800000+8 6.064485-3 1.900000+8 5.636858-37237 3  5
 2.000000+8 5.257061-3                                            7237 3  5
                                                                  7237 3  0
                                                                  7237 0  0
 7.217800+4 1.764151+2          0          2        302          07237 6  5
 1.000000+0 1.000000+0          0          1          1         777237 6  5
         77          2                                            7237 6  5
 1.000000+6 0.000000+0 7.000000+6 0.000000+0 7.500000+6 0.000000+07237 6  5
 8.000000+6 6.747318-1 8.500000+6 9.648556-1 9.000000+6 9.731345-17237 6  5
 9.500000+6 9.724328-1 1.000000+7 9.747222-1 1.050000+7 9.794092-17237 6  5
 1.100000+7 9.845431-1 1.150000+7 9.890397-1 1.200000+7 9.925531-17237 6  5
 1.250000+7 9.951079-1 1.300000+7 9.971360-1 1.350000+7 9.981026-17237 6  5
 1.400000+7 9.986375-1 1.450000+7 1.122435+0 1.500000+7 1.327816+07237 6  5
 1.550000+7 1.449219+0 1.600000+7 1.522246+0 1.650000+7 1.576590+07237 6  5
 1.700000+7 1.613112+0 1.750000+7 1.638534+0 1.800000+7 1.657816+07237 6  5
 1.850000+7 1.674024+0 1.900000+7 1.686414+0 1.950000+7 1.698688+07237 6  5
 2.000000+7 1.710359+0 2.100000+7 1.732595+0 2.200000+7 1.749700+07237 6  5
 2.300000+7 1.770948+0 2.400000+7 1.839676+0 2.500000+7 1.917002+07237 6  5
 2.600000+7 1.980655+0 2.700000+7 2.031451+0 2.800000+7 2.073988+07237 6  5
 2.900000+7 2.116888+0 3.000000+7 2.153548+0 3.200000+7 2.215388+07237 6  5
 3.400000+7 2.293274+0 3.600000+7 2.371200+0 3.800000+7 2.441038+07237 6  5
 4.000000+7 2.507072+0 4.200000+7 2.574388+0 4.400000+7 2.642048+07237 6  5
 4.600000+7 2.710642+0 4.800000+7 2.779965+0 5.000000+7 2.848033+07237 6  5
 5.200000+7 2.915749+0 5.400000+7 2.982757+0 5.600000+7 3.050308+07237 6  5
 5.800000+7 3.117676+0 6.000000+7 3.186110+0 6.200000+7 3.247758+07237 6  5
 6.400000+7 3.312001+0 6.600000+7 3.371772+0 6.800000+7 3.438673+07237 6  5
 7.000000+7 3.502315+0 7.200000+7 3.563929+0 7.400000+7 3.624514+07237 6  5
 7.600000+7 3.691734+0 7.800000+7 3.755379+0 8.000000+7 3.814400+07237 6  5
 8.500000+7 3.958440+0 9.000000+7 4.115850+0 9.500000+7 4.256489+07237 6  5
 1.000000+8 4.392596+0 1.100000+8 4.674943+0 1.200000+8 4.960440+07237 6  5
 1.300000+8 5.220960+0 1.400000+8 5.478024+0 1.500000+8 5.737466+07237 6  5
 1.600000+8 5.982216+0 1.700000+8 6.226760+0 1.800000+8 6.485614+07237 6  5
 1.900000+8 6.724859+0 2.000000+8 6.946499+0                      7237 6  5
 0.000000+0 0.000000+0          1          2          1         317237 6  5
         31         22                                            7237 6  5
 0.000000+0 1.000000+6          0          0          6          37237 6  5
 0.000000+0 0.000000+0 5.000000-1 2.000000+0 1.000000+0 0.000000+07237 6  5
 0.000000+0 8.000000+6          0          0         54         277237 6  5
 0.000000+0 0.000000+0 2.500000+4 2.360942-9 1.000000+5 9.443660-97237 6  5
 2.000000+5 2.65953-10 3.000000+5 6.920018-9 4.000000+5 9.983370-67237 6  5
 5.000000+5 0.000000+0 6.000000+5 0.000000+0 7.000000+5 0.000000+07237 6  5
 8.000000+5 0.000000+0 9.000000+5 0.000000+0 1.000000+6 0.000000+07237 6  5
 1.100000+6 0.000000+0 1.200000+6 0.000000+0 1.300000+6 0.000000+07237 6  5
 1.400000+6 0.000000+0 1.500000+6 0.000000+0 1.600000+6 0.000000+07237 6  5
 1.700000+6 0.000000+0 1.800000+6 0.000000+0 1.900000+6 0.000000+07237 6  5
 2.000000+6 0.000000+0 2.100000+6 0.000000+0 2.200000+6 0.000000+07237 6  5
 2.300000+6 0.000000+0 2.400000+6 0.000000+0 2.500000+6 0.000000+07237 6  5
 0.000000+0 1.000000+7          0          0         94         477237 6  5
 0.000000+0 0.000000+0 2.500000+4 1.153895-7 1.000000+5 4.582432-77237 6  5
 2.000000+5 6.166305-7 3.000000+5 7.370254-7 4.000000+5 7.946538-77237 6  5
 5.000000+5 7.907304-7 6.000000+5 7.469829-7 7.000000+5 6.820240-77237 6  5
 8.000000+5 6.095389-7 9.000000+5 5.373661-7 1.000000+6 4.696521-77237 6  5
 1.100000+6 4.082282-7 1.200000+6 3.536125-7 1.300000+6 1.530165-77237 6  5
 1.400000+6 2.711581-7 1.500000+6 3.681058-7 1.600000+6 4.553597-77237 6  5
 1.700000+6 3.437855-7 1.800000+6 7.868017-7 1.900000+6 1.566810-77237 6  5
 2.000000+6 1.151217-7 2.100000+6 3.050239-8 2.200000+6 4.58052-137237 6  5
 2.300000+6 2.205334-8 2.400000+6 9.231145-8 2.500000+6 0.000000+07237 6  5
 2.600000+6 0.000000+0 2.700000+6 0.000000+0 2.800000+6 0.000000+07237 6  5
 2.900000+6 0.000000+0 3.000000+6 0.000000+0 3.100000+6 0.000000+07237 6  5
 3.200000+6 0.000000+0 3.300000+6 0.000000+0 3.400000+6 0.000000+07237 6  5
 3.500000+6 0.000000+0 3.600000+6 0.000000+0 3.700000+6 0.000000+07237 6  5
 3.800000+6 0.000000+0 3.900000+6 0.000000+0 4.000000+6 0.000000+07237 6  5
 4.100000+6 0.000000+0 4.200000+6 0.000000+0 4.300000+6 0.000000+07237 6  5
 4.400000+6 0.000000+0 4.500000+6 0.000000+0                      7237 6  5
 0.000000+0 1.200000+7          0          0        134         677237 6  5
 0.000000+0 0.000000+0 2.500000+4 1.213287-7 1.000000+5 4.830139-77237 6  5
 2.000000+5 6.531268-7 3.000000+5 7.841443-7 4.000000+5 8.474883-77237 6  5
 5.000000+5 8.447575-7 6.000000+5 7.983133-7 7.000000+5 7.288428-77237 6  5
 8.000000+5 6.511237-7 9.000000+5 5.737009-7 1.000000+6 5.010864-77237 6  5
 1.100000+6 4.352637-7 1.200000+6 3.767902-7 1.300000+6 3.254801-77237 6  5
 1.400000+6 2.807953-7 1.500000+6 2.420534-7 1.600000+6 2.085489-77237 6  5
 1.700000+6 1.796119-7 1.800000+6 1.546341-7 1.900000+6 1.330772-77237 6  5
 2.000000+6 1.144720-7 2.100000+6 9.841323-8 2.200000+6 8.455222-87237 6  5
 2.300000+6 7.258978-8 2.400000+6 6.226891-8 2.500000+6 5.336858-87237 6  5
 2.600000+6 4.569829-8 2.700000+6 3.909348-8 2.800000+6 3.341152-87237 6  5
 2.900000+6 2.852862-8 3.000000+6 2.433714-8 3.100000+6 2.074336-87237 6  5
 3.200000+6 1.766567-8 3.300000+6 7.521842-9 3.400000+6 8.132519-97237 6  5
 3.500000+6 1.461745-8 3.600000+6 1.625036-8 3.700000+6 1.102866-87237 6  5
 3.800000+6 2.141601-8 3.900000+6 7.268932-9 4.000000+6 8.370890-97237 6  5
 4.100000+6 3.322115-9 4.200000+6 1.29950-14 4.300000+6 1.512993-97237 6  5
 4.400000+6 3.275037-9 4.500000+6 0.000000+0 4.600000+6 0.000000+07237 6  5
 4.700000+6 0.000000+0 4.800000+6 0.000000+0 4.900000+6 0.000000+07237 6  5
 5.000000+6 0.000000+0 5.100000+6 0.000000+0 5.200000+6 0.000000+07237 6  5
 5.300000+6 0.000000+0 5.400000+6 0.000000+0 5.500000+6 0.000000+07237 6  5
 5.600000+6 0.000000+0 5.700000+6 0.000000+0 5.800000+6 0.000000+07237 6  5
 5.900000+6 0.000000+0 6.000000+6 0.000000+0 6.100000+6 0.000000+07237 6  5
 6.200000+6 0.000000+0 6.300000+6 0.000000+0 6.400000+6 0.000000+07237 6  5
 6.500000+6 0.000000+0                                            7237 6  5
 0.000000+0 1.400000+7          0          4        522         877237 6  5
 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 2.500000+4 9.085563-8 3.92189-24-1.07568-23-3.39339-25-5.60252-247237 6  5
 1.000000+5 3.629990-7 5.52467-10 1.07416-11 1.49023-13 2.49167-157237 6  5
 2.000000+5 5.049037-7 8.71430-10 1.71966-11 2.43091-13-1.01463-157237 6  5
 3.000000+5 6.233281-7 1.216743-9 2.43459-11 3.46224-13-3.26932-157237 6  5
 4.000000+5 6.913296-7 1.521470-9 3.08692-11 4.46356-13 1.05603-147237 6  5
 5.000000+5 7.064549-7 1.750593-9 3.60136-11 5.22964-13 2.93321-157237 6  5
 6.000000+5 6.833598-7 1.905962-9 3.97563-11 6.00307-13 1.16274-147237 6  5
 7.000000+5 6.381443-7 2.004059-9 4.23594-11 6.38559-13 4.09183-157237 6  5
 8.000000+5 5.828159-7 2.062057-9 4.41867-11 6.79009-13 8.60942-157237 6  5
 9.000000+5 5.248704-7 2.093698-9 4.54439-11 7.05158-13 8.13214-157237 6  5
 1.000000+6 4.685720-7 2.108704-9 4.63632-11 7.32970-13 6.73349-157237 6  5
 1.100000+6 4.161069-7 2.113729-9 4.70838-11 7.50578-13 9.36449-157237 6  5
 1.200000+6 3.684177-7 2.113145-9 4.76724-11 7.68372-13 9.55143-157237 6  5
 1.300000+6 3.257407-7 2.109733-9 4.81950-11 7.87171-13 9.23739-157237 6  5
 1.400000+6 2.879305-7 2.105190-9 4.86907-11 8.04628-13 1.09709-147237 6  5
 1.500000+6 2.546929-7 2.100465-9 4.91814-11 8.22219-13 1.05526-147237 6  5
 1.600000+6 2.261592-7 2.096019-9 4.96751-11 8.41873-13 1.18170-147237 6  5
 1.700000+6 2.014409-7 2.091972-9 5.01748-11 8.59489-13 1.17347-147237 6  5
 1.800000+6 1.800283-7 2.088230-9 5.06823-11 8.78493-13 1.19135-147237 6  5
 1.900000+6 1.614679-7 2.084568-9 5.11901-11 8.98503-13 1.19721-147237 6  5
 2.000000+6 1.453622-7 2.080678-9 5.16910-11 9.17717-13 1.30258-147237 6  5
 2.100000+6 1.313666-7 2.076224-9 5.21747-11 9.36785-13 1.36685-147237 6  5
 2.200000+6 1.191842-7 2.070857-9 5.26340-11 9.56177-13 1.33459-147237 6  5
 2.300000+6 1.085598-7 2.064248-9 5.30595-11 9.74864-13 1.30827-147237 6  5
 2.400000+6 9.927413-8 2.056097-9 5.34398-11 9.92964-13 1.37206-147237 6  5
 2.500000+6 9.113926-8 2.046142-9 5.37712-11 1.00981-12 1.42830-147237 6  5
 2.600000+6 8.399355-8 2.034162-9 5.40415-11 1.02620-12 1.54190-147237 6  5
 2.700000+6 7.769798-8 2.019986-9 5.42468-11 1.04124-12 1.54657-147237 6  5
 2.800000+6 7.213277-8 2.003482-9 5.43832-11 1.05394-12 1.56502-147237 6  5
 2.900000+6 6.719446-8 1.984545-9 5.44418-11 1.06589-12 1.61819-147237 6  5
 3.000000+6 6.279367-8 1.963112-9 5.44224-11 1.07778-12 1.63437-147237 6  5
 3.100000+6 5.885284-8 1.939129-9 5.43193-11 1.08778-12 1.71919-147237 6  5
 3.200000+6 5.530458-8 1.912551-9 5.41294-11 1.09410-12 1.73712-147237 6  5
 3.300000+6 5.209012-8 1.883334-9 5.38508-11 1.10041-12 1.77772-147237 6  5
 3.400000+6 4.915785-8 1.851412-9 5.34756-11 1.10330-12 1.66987-147237 6  5
 3.500000+6 4.646246-8 1.816692-9 5.30008-11 1.10512-12 1.78415-147237 6  5
 3.600000+6 4.396366-8 1.779047-9 5.24214-11 1.10372-12 1.80863-147237 6  5
 3.700000+6 4.162552-8 1.738306-9 5.17281-11 1.09976-12 1.83309-147237 6  5
 3.800000+6 3.941556-8 1.694232-9 5.09115-11 1.09287-12 1.80756-147237 6  5
 3.900000+6 3.730440-8 1.646545-9 4.99605-11 1.08316-12 1.82991-147237 6  5
 4.000000+6 3.526513-8 1.594898-9 4.88608-11 1.06950-12 1.82018-147237 6  5
 4.100000+6 3.327299-8 1.538892-9 4.75963-11 1.05180-12 1.80604-147237 6  5
 4.200000+6 3.130518-8 1.478074-9 4.61496-11 1.02954-12 1.78493-147237 6  5
 4.300000+6 2.934073-8 1.411957-9 4.45007-11 1.00211-12 1.74961-147237 6  5
 4.400000+6 2.736045-8 1.340026-9 4.26285-11 9.68918-13 1.70990-147237 6  5
 4.500000+6 2.534691-8 1.261753-9 4.05108-11 9.29402-13 1.65638-147237 6  5
 4.600000+6 2.328451-8 1.176615-9 3.81249-11 8.82805-13 1.58378-147237 6  5
 4.700000+6 2.115948-8 1.084104-9 3.54482-11 8.28177-13 1.50371-147237 6  5
 4.800000+6 1.895986-8 9.83740-10 3.24580-11 7.65148-13 1.39980-147237 6  5
 4.900000+6 1.667550-8 8.75081-10 2.91327-11 6.93043-13 1.28156-147237 6  5
 5.000000+6 1.429784-8 7.57722-10 2.54509-11 6.10767-13 1.13770-147237 6  5
 5.100000+6 1.181983-8 6.31293-10 2.13923-11 5.18005-13 9.72907-157237 6  5
 5.200000+6 9.235630-9 4.95459-10 1.69371-11 4.13688-13 7.87577-157237 6  5
 5.300000+6 6.317811-9 3.49905-10 1.20659-11 2.97282-13 5.67997-157237 6  5
 5.400000+6 1.486034-9 7.64254-11 2.65839-12 6.60637-14 1.27193-157237 6  5
 5.500000+6 1.345304-9 5.55447-11 1.93214-12 4.80271-14 9.21704-167237 6  5
 5.600000+6 4.33900-10 3.18522-12 1.10743-13 2.75187-15 5.33423-177237 6  5
 5.700000+6 2.34994-10-4.61399-27-1.15925-26-6.99925-27-1.79684-267237 6  5
 5.800000+6 4.37457-10-8.58925-27-2.15803-26-1.30296-26-3.34494-267237 6  5
 5.900000+6 2.53571-10-4.58245-27-1.50108-26-1.06645-26-1.37599-267237 6  5
 6.000000+6 2.26607-10-5.46965-27 2.23576-27-6.18285-27 3.91258-277237 6  5
 6.100000+6 1.32360-10-6.35022-27 1.30589-27 1.04859-27-1.33854-267237 6  5
 6.200000+6 1.24785-16-3.01195-33 1.23116-33-3.40468-33 2.15452-337237 6  5
 6.300000+6 4.34617-11-5.02970-27 1.28641-27 6.73327-28-6.43205-287237 6  5
 6.400000+6 7.34170-11-2.44094-27-7.24349-28 1.64755-27-2.53522-277237 6  5
 6.500000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 6.600000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 6.700000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 6.800000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 6.900000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.000000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.100000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.200000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.300000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.400000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.500000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.600000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.700000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.800000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 7.900000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 8.000000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 8.100000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 8.200000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 8.300000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 8.400000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 8.500000+6 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 0.000000+0 1.600000+7          0          4        606        1017237 6  5
 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+07237 6  5
 2.666667+4 1.935659-7 3.17133-24 5.72930-24 5.65988-24 1.95751-237237 6  5
 1.066667+5 4.611789-7 5.52683-10 1.15009-11 1.67771-13 3.78610-157237 6  5
 2.133333+5 5.870456-7 8.81777-10 1.86344-11 2.78580-13-6.96067-167237 6  5
 3.200000+5 6.229903-7 1.227102-9 2.63274-11 4.12063-13 7.48288-157237 6  5
 4.266667+5 6.327017-7 1.514406-9 3.29727-11 5.13885-13 6.59194-157237 6  5
 5.333333+5 6.048295-7 1.715901-9 3.79129-11 5.99969-13 7.52353-157237 6  5
