 JENDL/PD-2016.1  Te-124                                             1 0  0
 5.212400+4 1.228384+2         -1          0         38          15237 1451
 0.000000+0 0.000000+0          0          0          0          65237 1451
 0.000000+0 2.000000+8          0          0          0       20195237 1451
 0.000000+0 0.000000+0          0          0         53          35237 1451
 52-Te-124 JAEA       EVAL-APR19 N.Iwamoto                        5237 1451
NDS 163 109 (2020)    DIST-JUN20                                  5237 1451
----IAEA/PD-2019      MATERIAL 5237                               5237 1451
-----PHOTO-NUCLEAR DATA                                           5237 1451
------ENDF-6 FORMAT                                               5237 1451
                                                                  5237 1451
History                                                           5237 1451
2016-12 Evaluated with CCONE code by N.Iwamoto                    5237 1451
2019-04 Incident energy was extended up to 200MeV with CCONE code 5237 1451
        by N.Iwamoto                                              5237 1451
                                                                  5237 1451
MF= 1 General information                                         5237 1451
  MT=451 Descriptive data and directory                           5237 1451
                                                                  5237 1451
MF= 3 Neutron cross sections                                      5237 1451
  MT=  5 Total reaction cross section                             5237 1451
    Calculated with CCONE code /1/.                               5237 1451
                                                                  5237 1451
MF= 6 Energy-angle distributions of emitted particles             5237 1451
  MT=  5 Total reaction                                           5237 1451
    Calculated with CCONE code /1/.                               5237 1451
                                                                  5237 1451
------------------------------------------------------------------5237 1451
          nuclear model calculation with CCONE code /1/           5237 1451
------------------------------------------------------------------5237 1451
* Optical model potentials                                        5237 1451
  neutron : A.J.Koning and J.P.Delaroche/2/                       5237 1451
  proton  : A.J.Koning and J.P.Delaroche/2/                       5237 1451
  deuteron: Y.Han et al./3/                                       5237 1451
  triton  : A.J.Koning and J.P.Delaroche/2/                       5237 1451
  He-3    : Y.Xu et al./4/                                        5237 1451
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        5237 1451
                                                                  5237 1451
* Level density parameters (Gilbert-Cameron model/6/)             5237 1451
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   5237 1451
                                                                  5237 1451
* Gamma-ray strength functions                                    5237 1451
  E1: modified Lorentzian model(MLO1)/8/                          5237 1451
  M1: standard Lorentzian model(SLO)                              5237 1451
  E2: standard Lorentzian model(SLO)                              5237 1451
                                                                  5237 1451
References                                                        5237 1451
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          5237 1451
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    5237 1451
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   5237 1451
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       5237 1451
    (2011)                                                        5237 1451
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    5237 1451
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    5237 1451
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     5237 1451
    (1994)                                                        5237 1451
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       5237 1451
    (2002)                                                        5237 1451
                                1        451         60          15237 1451
                                3          5         33          15237 1451
                                6          5      31665          15237 1451
                                                                  5237 1  0
                                                                  5237 0  0
 5.212400+4 1.228384+2          0          0          0          05237 3  5
 0.000000+0 0.000000+0          0          0          1         885237 3  5
         88          2                                            5237 3  5
 1.000000+6 2.446157-5 1.500000+6 6.994585-5 2.000000+6 1.527793-45237 3  5
 2.500000+6 2.871239-4 3.000000+6 4.906192-4 3.500000+6 7.859300-45237 3  5
 4.000000+6 1.203002-3 4.500000+6 1.782416-3 5.000000+6 2.580372-35237 3  5
 5.500000+6 3.675786-3 6.000000+6 5.179138-3 6.500000+6 7.239577-35237 3  5
 7.000000+6 1.004103-2 7.500000+6 1.378178-2 8.000000+6 1.866339-25237 3  5
 8.500000+6 2.481327-2 9.000000+6 3.170771-2 9.500000+6 3.788780-25237 3  5
 1.000000+7 4.328616-2 1.050000+7 5.009625-2 1.100000+7 6.038869-25237 3  5
 1.150000+7 7.548982-2 1.200000+7 9.651666-2 1.250000+7 1.244976-15237 3  5
 1.300000+7 1.598283-1 1.350000+7 2.008441-1 1.400000+7 2.418857-15237 3  5
 1.450000+7 2.732381-1 1.500000+7 2.858072-1 1.550000+7 2.776761-15237 3  5
 1.600000+7 2.548008-1 1.650000+7 2.255637-1 1.700000+7 1.961494-15237 3  5
 1.750000+7 1.696337-1 1.800000+7 1.469652-1 1.850000+7 1.280436-15237 3  5
 1.900000+7 1.123801-1 1.950000+7 9.941212-2 2.000000+7 8.862638-25237 3  5
 2.100000+7 7.177143-2 2.200000+7 5.954835-2 2.300000+7 5.040026-25237 3  5
 2.400000+7 4.335706-2 2.500000+7 3.780123-2 2.600000+7 3.332881-25237 3  5
 2.700000+7 2.966813-2 2.800000+7 2.663143-2 2.900000+7 2.408559-25237 3  5
 3.000000+7 2.193378-2 3.200000+7 1.854066-2 3.400000+7 1.605115-25237 3  5
 3.600000+7 1.421231-2 3.800000+7 1.285247-2 4.000000+7 1.184897-25237 3  5
 4.200000+7 1.111147-2 4.400000+7 1.057236-2 4.600000+7 1.018068-25237 3  5
 4.800000+7 9.897962-3 5.000000+7 9.695143-3 5.200000+7 9.550292-35237 3  5
 5.400000+7 9.446869-3 5.600000+7 9.372417-3 5.800000+7 9.317565-35237 3  5
 6.000000+7 9.275280-3 6.200000+7 9.240302-3 6.400000+7 9.208717-35237 3  5
 6.600000+7 9.177634-3 6.800000+7 9.144944-3 7.000000+7 9.109138-35237 3  5
 7.200000+7 9.069162-3 7.400000+7 9.024315-3 7.600000+7 8.974165-35237 3  5
 7.800000+7 8.918490-3 8.000000+7 8.857226-3 8.500000+7 8.680237-35237 3  5
 9.000000+7 8.472046-3 9.500000+7 8.237718-3 1.000000+8 7.983247-35237 3  5
 1.100000+8 7.439375-3 1.200000+8 6.891089-3 1.300000+8 6.386358-35237 3  5
 1.400000+8 5.969357-3 1.500000+8 5.451361-3 1.600000+8 5.004016-35237 3  5
 1.700000+8 4.614532-3 1.800000+8 4.272957-3 1.900000+8 3.971438-35237 3  5
 2.000000+8 3.703703-3                                            5237 3  5
                                                                  5237 3  0
                                                                  5237 0  0
 5.212400+4 1.228384+2          0          2        345          05237 6  5
 1.000000+0 1.000000+0          0          1          1         725237 6  5
         72          2                                            5237 6  5
